run_id,algorithm,stochasticity,discount_factor,learning_rate,epsilon,episode_length_mc,grid_name,reward_function,cumulative_reward,step,episode,conv_metricV,conv_metricQ
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1386750490563073,0.9699530336808939,500,grid_configs/A1_grid.npy,Default,-1356,23352,60,28.672913,66.38518
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13130643285972254,0.9694680571640535,500,grid_configs/A1_grid.npy,Default,-1236,23852,61,37.049522,56.240334
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.11624763874381928,0.9689833231354715,500,grid_configs/A1_grid.npy,Default,-957,24324,62,46.14911,58.76712
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.12909944487358055,0.9684988314739038,500,grid_configs/A1_grid.npy,Default,-1176,24824,63,79.05461,86.19302
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1147078669352809,0.9680145820581669,500,grid_configs/A1_grid.npy,Default,-1092,25324,64,71.57921,83.11107
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1111111111111111,0.9675305747671379,500,grid_configs/A1_grid.npy,Default,-1436,25824,65,71.72511,104.75368
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.12126781251816648,0.9670468094797544,500,grid_configs/A1_grid.npy,Default,-275,25942,66,137.2208,154.01694
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13483997249264842,0.9665632860750146,500,grid_configs/A1_grid.npy,Default,-1136,26442,67,45.778122,56.807327
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1690308509457033,0.9660800044319772,500,grid_configs/A1_grid.npy,Default,-46,26471,68,21.400085,60.78508
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1336306209562122,0.9655969644297613,500,grid_configs/A1_grid.npy,Default,-1180,26971,69,47.622787,64.18563
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10482848367219183,0.9651141659475465,500,grid_configs/A1_grid.npy,Default,-392,27142,70,59.775665,67.950066
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13130643285972254,0.9646316088645728,500,grid_configs/A1_grid.npy,Default,-1236,27642,71,46.36876,78.49426
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.11785113019775793,0.9641492930601405,500,grid_configs/A1_grid.npy,Default,-1152,28142,72,28.848999,36.448257
